concept;items_spa;cats
Sentido de justicia procesal;En los servicios de salud;(1) Nunca
Sentido de justicia procesal;En los servicios de salud;(5) Siempre
Sentido de justicia procesal;Por Carabineros;(1) Nunca
Sentido de justicia procesal;Por Carabineros;(5) Siempre
Evaluación de justicia distributiva;¿Cuánto cree usted que gana al mes el gerente de una gran empresa nacional?;Valores continuos
Evaluación de justicia distributiva;¿Cuánto cree usted que gana al mes un obrero no calificado de una fábrica?;Valores continuos
Evaluación de justicia distributiva;¿Cuánto cree usted que debería ganar al mes el gerente de una gran empresa nacional?;Valores continuos
Evaluación de justicia distributiva;¿Cuánto cree usted que debería ganar al mes un obrero no calificado de una fábrica?;Valores continuos
Evaluación de justicia distributiva;Percepción de justicia en la situación de vida entre clase alta y baja;(1) Muy injusta
Evaluación de justicia distributiva;Percepción de justicia en la situación de vida entre clase alta y baja;(5) Muy justa
